127.0.0.1 - - [16/Apr/2020:08:55:36 +0900] "GET / HTTP/1.1" 404 992
0:0:0:0:0:0:0:1 - - [16/Apr/2020:08:55:36 +0900] "GET /ex0416/ex01.html HTTP/1.1" 200 288
0:0:0:0:0:0:0:1 - - [16/Apr/2020:08:55:37 +0900] "GET /favicon.ico HTTP/1.1" 404 1014
0:0:0:0:0:0:0:1 - - [16/Apr/2020:08:55:52 +0900] "GET /ex0416/ex01.html HTTP/1.1" 200 418
0:0:0:0:0:0:0:1 - - [16/Apr/2020:08:56:04 +0900] "GET /ex0416/ex01.html HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [16/Apr/2020:08:56:04 +0900] "GET /ex0416/ex01.html HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [16/Apr/2020:08:56:04 +0900] "GET /ex0416/ex01.html HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [16/Apr/2020:08:56:04 +0900] "GET /ex0416/ex01.html HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [16/Apr/2020:08:57:14 +0900] "GET /ex0416/ex01.html HTTP/1.1" 200 502
0:0:0:0:0:0:0:1 - - [16/Apr/2020:08:57:30 +0900] "GET /ex0416/ex01.html HTTP/1.1" 200 675
0:0:0:0:0:0:0:1 - - [16/Apr/2020:08:57:31 +0900] "GET /ex0416/ex01.html HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [16/Apr/2020:08:57:31 +0900] "GET /ex0416/ex01.html HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [16/Apr/2020:08:57:31 +0900] "GET /ex0416/ex01.html HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [16/Apr/2020:08:57:32 +0900] "GET /ex0416/ex01.html HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [16/Apr/2020:08:58:15 +0900] "GET /ex0416/ex01.html HTTP/1.1" 200 681
0:0:0:0:0:0:0:1 - - [16/Apr/2020:08:58:17 +0900] "GET /ex0416/ex01.html HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [16/Apr/2020:08:58:17 +0900] "GET /ex0416/ex01.html HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [16/Apr/2020:08:58:17 +0900] "GET /ex0416/ex01.html HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [16/Apr/2020:08:58:17 +0900] "GET /ex0416/ex01.html HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [16/Apr/2020:08:58:18 +0900] "GET /ex0416/ex01.html HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [16/Apr/2020:08:58:18 +0900] "GET /ex0416/ex01.html HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [16/Apr/2020:08:58:18 +0900] "GET /ex0416/ex01.html HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [16/Apr/2020:08:58:18 +0900] "GET /ex0416/ex01.html HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [16/Apr/2020:08:58:18 +0900] "GET /ex0416/ex01.html HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [16/Apr/2020:08:58:18 +0900] "GET /ex0416/ex01.html HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [16/Apr/2020:08:58:18 +0900] "GET /ex0416/ex01.html HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [16/Apr/2020:08:58:18 +0900] "GET /ex0416/ex01.html HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [16/Apr/2020:08:58:19 +0900] "GET /ex0416/ex01.html HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [16/Apr/2020:08:58:19 +0900] "GET /ex0416/ex01.html HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [16/Apr/2020:08:58:19 +0900] "GET /ex0416/ex01.html HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [16/Apr/2020:08:58:19 +0900] "GET /ex0416/ex01.html HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [16/Apr/2020:08:58:19 +0900] "GET /ex0416/ex01.html HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [16/Apr/2020:08:58:19 +0900] "GET /ex0416/ex01.html HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [16/Apr/2020:08:58:19 +0900] "GET /ex0416/ex01.html HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [16/Apr/2020:08:58:20 +0900] "GET /ex0416/ex01.html HTTP/1.1" 304 -
